Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,2,2,-11,-15,13,-10.991874643064762,-14.997905098950124,12.942810621083234,0.2717315332826828,12.598059200012358
10,100,2,2,-11,-15,13,-10.997772509906431,-14.994445364225815,12.985461536602052,0.2716441703334299,10.579826500004856
10,100,2,2,-11,-15,13,-10.992702644366704,-14.9952868726384,12.946877750193375,0.2717315332826828,11.966317199985497
10,100,2,2,-11,-15,13,-10.991610938703802,-14.991697145930754,12.948374083875429,0.2717315332826828,12.859640100010438
10,100,2,2,-11,-15,13,-10.99906513889114,-14.976240181299634,13.0015249782179,0.271618689473231,12.882133799983421
10,100,2,2,-11,-15,13,-10.998622065815722,-14.992771208401418,12.997417838223564,0.2716368900876588,13.390095299982931
10,100,2,2,-12,-18,15,-12.18077904678034,-18.169748176248067,15.195981665390075,0.2818227326247262,14.800072999991244
10,100,2,2,-12,-18,15,-12.135614392752782,-18.173522148884068,15.24395968769765,0.2816086946350903,19.827516699995613
10,100,2,2,-12,-18,15,-11.983737158855348,-18.174949810752626,14.54847117679708,0.281242290618934,42.816178399982164
10,100,2,2,-12,-18,15,-11.866162421661407,-18.174660298676347,14.74354263008036,0.2803244666972754,17.085963699995773
10,100,2,2,-12,-18,15,-12.078389324665121,-18.12764417032215,15.361225618488252,0.2879624512805182,32.737733600020874
10,100,2,2,-12,-18,15,-11.998153853504629,-17.99845605668815,14.989391883016427,0.287509620028746,18.168549499998335
10,100,2,2,19,-17,-11,10.704793736774572,-16.991321810640073,-11.068722011781592,0.4156323147029195,17.282743399991887
10,100,2,2,19,-17,-11,19.001649445531278,-16.93663413495381,-11.028879817800142,0.2878184709145246,16.251082500006305
10,100,2,2,19,-17,-11,6.26934559912625,-16.944925178047292,-10.978255139434749,0.4157582061502819,20.45323240000289
10,100,2,2,19,-17,-11,20.0,-16.941549851710935,-11.57282582034001,0.32324500469662937,16.654095199977746
10,100,2,2,19,-17,-11,6.26769863282708,-16.968042108593117,-10.994194862630241,0.4157582061502819,13.670814699988114
10,100,2,2,19,-17,-11,6.283675019899504,-16.991547757317583,-10.890680794720698,0.4157582061502819,12.726631500001531
10,100,2,2,12,19,-17,12.001453913061727,19.008369184474653,-17.024274251889985,0.2842903931789835,14.294322100002319
