Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,5,2,-10,-2,14,-9.974279427215953,-2.1439629040943755,13.886181893038096,0.3067838675252189,5.851138099998934
10,100,5,2,-10,-2,14,-9.974868508211406,-2.1388881825049464,13.88120511673486,0.3067838675252189,5.88368349999655
10,100,5,2,-16,15,3,-15.994337689029726,6.474033231712147,2.9861970025547744,0.3232817647278068,5.7866580999980215
10,100,5,2,-16,15,3,-15.996610462302375,7.065445597285024,3.03290884785871,0.3232281722451663,5.807330300012836
10,100,5,2,-16,15,3,-15.98852692981831,7.067292937632616,3.0166754271631477,0.32304953063636477,5.797259800019674
10,100,5,2,-16,15,3,-15.991699921887658,8.726510597789389,3.0176433562750438,0.32360331962364947,6.249104999995325
10,100,5,2,-16,15,3,-15.999046439796338,1.1256660080854861,2.9697590635714013,0.32495504113024754,6.463770099973772
10,100,5,2,-16,15,3,-15.998243856334925,7.670914717201669,3.0018721045750687,0.3232043533639927,5.846575599978678
10,100,8,2,26,-29,19,25.91136854465405,-29.11337277536095,19.210764419433197,0.352102771832135,6.765302499989048
10,100,8,2,26,-29,19,26.50833913972392,-13.6087021963627,18.607765827955127,0.38958726103043917,6.796720300015295
10,100,8,2,26,-29,19,26.010982238004594,-13.215751437547386,19.010117056210753,0.3896579738606149,6.75411880001775
10,100,8,2,26,-29,19,25.961538667963847,-14.2015777110145,19.053545714720272,0.3881460475108548,6.768400600005407
10,100,8,2,26,-29,19,5.353987745102201,29.999986514609972,-20.962307071006755,0.48812820367960624,6.643268599989824
10,100,8,2,26,-29,19,7.544063446143847,-30.0,20.44367811794834,0.4648553273707461,6.763360200013267
10,100,8,2,-1,24,1,-0.9995963360833813,23.99945781984305,1.003194256870591,0.2974277029455984,9.538920699997107
10,100,8,2,-1,24,1,-0.9985955472610759,24.01348361781318,1.004898505716133,0.29754746191473147,9.60670589999063
10,100,8,2,-1,24,1,-0.9935355398741679,24.01265676771879,1.0474220892532804,0.29764831157294874,9.647617299982812
10,100,8,2,-1,24,1,-0.9962449042967346,23.99009884601216,1.0553287341460522,0.2978594655448413,10.358467599988217
10,100,8,2,-1,24,1,-0.9973273896261599,23.99941740469786,1.0051517954577542,0.2974277029455984,9.610011900018435
10,100,8,2,-1,24,1,-0.9938570243509235,23.999593219865403,1.008277873363343,0.29755061346655076,9.697932000010042
10,100,8,2,1,9,-9,1.0030801097969515,8.957209584249814,-8.893591068198333,0.25762214534909755,9.469860399985919
10,100,8,2,1,9,-9,1.000268250464164,9.003969324933639,-9.004557345102528,0.25679295795381696,9.582180500001414
10,100,8,2,1,9,-9,1.0050301103848558,9.005173744337947,-9.010514555245905,0.25679295795381696,9.326702399994247
10,100,8,2,1,9,-9,1.004558333978718,9.004826239401586,-9.051299072146048,0.25691255228967474,9.41489929999807
10,100,8,2,1,9,-9,1.0038419723572838,9.005682479807657,-9.010137367779562,0.25679295795381696,9.565680899977451
10,100,8,2,1,9,-9,1.0057215475628696,9.003934817369311,-9.00852013658373,0.25679295795381696,9.483731499989517
10,100,5,5,8,3,-13,7.493757847464303,3.001673188387104,-13.032890856246016,0.2310452697536226,3.7419479000091087
10,100,5,5,8,3,-13,7.539344492415242,3.001586174260485,-12.99191121203792,0.2311986251696279,3.808617700007744
10,100,5,5,8,3,-13,8.43913413473967,3.006831606084849,-12.994865912687512,0.23100437497602117,3.7245077000116
10,100,5,5,8,3,-13,8.46693560011764,3.001052410728219,-13.024565829833616,0.23110661192002468,3.792005800001789
10,100,5,5,8,3,-13,8.457488015703255,3.0037842960020353,-13.00973716896687,0.23110661192002468,3.7373304999782704
10,100,5,5,8,3,-13,8.415010136893173,3.0004818650056015,-12.961112337742314,0.23100437497602117,3.767196900007548
10,100,5,5,-23,4,-13,-21.41714398853101,4.344814978094565,-12.272512446781334,0.24155173153681492,3.353973199991742
10,100,5,5,-23,4,-13,-22.97092178889077,4.001314470184197,-12.97800683016046,0.24745316325460992,3.421690100018168
10,100,5,5,-23,4,-13,-22.957106790796608,4.003115017724052,-12.994999136968186,0.24745316325460992,3.374399499996798
10,100,5,5,-23,4,-13,-22.631392138166476,4.34725754512928,-12.110856462699608,0.23941892904114992,3.414663199975621
10,100,5,5,-23,4,-13,-22.79913738859292,4.003432774043602,-12.959580266460687,0.24791720538369622,3.4142221999936737
10,100,5,5,-23,4,-13,-22.591876045081975,4.336778397152349,-12.152161593633469,0.23992843185955876,3.42007689998718
10,100,5,5,-1,-19,-26,-0.9864166412218757,-18.99510613469201,-25.98266529811148,0.25373035475921,4.278988000005484
10,100,5,5,-1,-19,-26,-0.9834764558494131,-18.99797369416735,-25.974886094867824,0.25373035475921,4.253038599999854
10,100,5,5,-1,-19,-26,-0.9948461951772158,-18.995959793105875,-25.994637909180028,0.25373035475921,4.212263699999312
10,100,5,5,-1,-19,-26,-1.1814633882419994,-18.999211746082032,-25.969771484552222,0.25368072696782407,4.2878163999994285
10,100,5,5,-1,-19,-26,-0.9860035551578409,-18.99624295930362,-25.978506800001934,0.25373035475921,4.196024599979864
10,100,5,5,-1,-19,-26,-0.9852638681029181,-18.9953057556413,-25.978357246872534,0.25373035475921,4.2932526000076905
10,100,5,8,6,5,-12,6.0049791614427654,5.0711823067673905,-11.99807783081701,0.31180046740802203,6.094049100007396
10,100,5,8,6,5,-12,6.003505850770562,5.052758991747916,-12.000639604564524,0.3121375146193748,5.966242299997248
10,100,5,8,6,5,-12,6.00525065065145,5.071767206312529,-11.99717683321354,0.31180046740802203,5.990410600003088
10,100,5,8,6,5,-12,6.006725933460663,5.07092748342569,-11.998677072120177,0.31180046740802203,6.042154399998253
10,100,5,8,6,5,-12,6.003480371019188,5.070738313637949,-11.998841610483618,0.31180046740802203,5.931067199999234
10,100,5,8,6,5,-12,6.00407970229084,5.07101423962396,-11.997879108305924,0.31180046740802203,5.936840300011681
10,100,5,8,6,-23,23,6.003408040605774,-23.11179509101392,22.998338305861306,0.32860410056422756,5.810933600005228
10,100,5,8,6,-23,23,6.000996539340516,-6.569555715640348,23.024658305090405,0.3278599105116231,5.919648800016148
10,100,5,8,6,-23,23,6.0023760646867,-1.6776872147265225,23.044675166101744,0.32778291043478314,5.805456700007198
10,100,5,8,6,-23,23,6.005224303392771,-1.5200598766272604,22.99734984002238,0.32746849345435314,5.87489859998459
10,100,5,8,6,-23,23,6.002417219982983,-1.5147556034949634,23.002814117177184,0.32764816030031313,5.840726299997186
10,100,5,8,6,-23,23,6.003716445430162,-5.808236889763425,23.01410352634748,0.32805882737679304,5.912734000012279
10,100,5,8,-10,-4,-9,-9.999297313590645,-4.106968121364031,-9.000624025639837,0.29839205509090666,5.860507499979576
