Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,2,2,26,-23,20,26.206497616839222,-22.994734362970114,19.96903244506459,0.3081790821139463,9.939709700003732
10,100,5,2,24,-27,22,23.753164523718233,30.0,21.70299664445462,0.3917275917234154,5.814969099999871
10,100,5,2,24,-27,22,24.31598526839081,-27.15343506085756,21.675367392887686,0.34298496931166567,6.099204199999804
10,100,5,2,24,-27,22,23.93647456051222,25.665493394225127,22.238700226304193,0.38251171157299796,5.853733700001612
10,100,5,2,24,-27,22,23.991692272041494,23.253056673490583,22.214262768490702,0.38094744320919727,5.499660400004359
10,100,5,2,24,-27,22,24.303670880374053,-16.536870450899368,21.69383963017005,0.3666942865622833,5.658412099990528
10,100,5,2,24,-27,22,23.82528353976523,22.08028164963231,21.84672865995178,0.38284817719968206,5.569441900006495
10,100,5,2,23,-20,26,23.014045897794357,-20.01403897496901,25.97574870080564,0.3312358867720048,5.874780300015118
10,100,5,2,23,-20,26,23.01346082833205,-20.056001457961344,26.00651610653666,0.33113803941406905,5.958281100000022
10,100,5,2,23,-20,26,22.992534066708274,-1.442174898260465,26.092345182089062,0.3612480102234614,5.616202200006228
10,100,5,2,23,-20,26,23.027540137446916,-20.031324569204106,26.02072066294385,0.3317552304410484,6.370483200007584
10,100,5,2,23,-20,26,-9.26966447923254,30.0,-21.82813856135015,0.4914406121438902,5.842797999997856
10,100,5,2,23,-20,26,23.025616530399475,-20.021421807841183,25.997999565573597,0.3310251386164509,6.4152707000030205
10,100,5,2,-20,-23,-22,-20.004364856823727,-3.4730180730797007,-21.998577001545744,0.33177452446329636,6.756053199991584
10,100,5,2,-20,-23,-22,-20.00388889022715,-7.82407923102784,-21.996292282782278,0.3310252026833219,6.715243500017095
10,100,5,2,-20,-23,-22,-19.99881501122219,-7.839644268074214,-22.00415956178173,0.3314244763325054,6.452584800019395
10,100,5,2,-20,-23,-22,-20.00097662848646,-7.850819748456633,-21.99671015904179,0.3315776223897265,6.4998563999834005
10,100,5,2,-20,-23,-22,-19.999987947191993,-7.779600226593011,-21.99929459057133,0.33085564811997004,6.638388599996688
10,100,5,2,-20,-23,-22,-19.99987119655917,-6.193134006430234,-21.996184464409673,0.3317745244632964,5.961707999987993
10,100,5,2,21,-24,23,21.00412731917645,-16.127703233243324,22.9995285463535,0.355772993454352,5.750235999992583
10,100,5,2,21,-24,23,20.994943313656464,26.892505678677562,23.00533558960018,0.37385369079720915,5.9160775000054855
10,100,5,2,21,-24,23,20.989175977162155,-5.196698943723607,22.999707038876302,0.3595847402716422,6.000293999997666
10,100,5,2,21,-24,23,21.00163208261895,16.103995273610828,22.998544731808366,0.3692307685304369,7.010143899999093
10,100,5,2,21,-24,23,-8.525519072207132,30.0,-20.998125113001752,0.49095357204857026,6.614075399993453
10,100,5,2,21,-24,23,21.000332679530587,-24.155331183556793,22.998167772788943,0.3304704150478691,6.604675400012638
10,100,5,2,20,-23,22,20.000963518624513,28.07303829052084,22.035556021997984,0.37281815476268787,5.849970299983397
10,100,5,2,20,-23,22,20.004783330238457,-15.113659133139826,21.999332955107647,0.3552273603880737,6.357837100018514
10,100,5,2,20,-23,22,19.97632023134866,11.886926598005491,22.4661989412217,0.3656798501523519,6.9645998000050895
10,100,5,2,20,-23,22,20.000988070677682,5.092738772166678,21.9626781686312,0.36186915263070496,7.255250599991996
10,100,5,2,20,-23,22,20.022905511106703,0.09704601403409224,21.91940810585087,0.35941130838816326,7.38182870001765
10,100,5,2,20,-23,22,20.00671342950887,-10.11717721613406,22.006724180253507,0.3559405343971801,6.625230199977523
10,100,5,2,-28,25,-23,-27.98501378434011,4.554085028058609,-22.99928423712332,0.33920623058295596,7.466180999996141
10,100,5,2,-28,25,-23,-27.999142924214663,0.34590697144307664,-23.01728753083678,0.33983869653278886,7.425034099986078
10,100,5,2,-28,25,-23,29.46690057032003,7.491766261547959,30.0,0.49715959807453847,7.075817900011316
10,100,5,2,-28,25,-23,-27.995299207706545,4.7406988171889175,-22.992550754271633,0.3392014751998744,10.795195100014098
10,100,5,2,-28,25,-23,-27.99030810469523,4.5482217432537215,-22.983967675543013,0.3389874829612092,7.256708800006891
10,100,5,2,-28,25,-23,-27.9878630209586,4.5488369691600585,-22.97039805740851,0.3389874829612092,7.360429399996065
