Npart	Niter	posx	posy	Ix	Iy	Itheta	Ox	Oy	Otheta	f	t										
10	100	5	2	-10	-2	14	-9,974279427	-2,143962904	13,88618189	0,306783868	5,8511381										
10	100	5	2	-10	-2	14	-9,974868508	-2,138888183	13,88120512	0,306783868	5,8836835										
10	100	5	2	-16	15	3	-15,99433769	6,474033232	2,986197003	0,323281765	5,7866581										
10	100	5	2	-16	15	3	-15,99661046	7,065445597	3,032908848	0,323228172	5,8073303										
10	100	5	2	-16	15	3	-15,98852693	7,067292938	3,016675427	0,323049531	5,7972598										
10	100	5	2	-16	15	3	-15,99169992	8,726510598	3,017643356	0,32360332	6,249105										
10	100	5	2	-16	15	3	-15,99904644	1,125666008	2,969759064	0,324955041	6,4637701										
10	100	5	2	-16	15	3	-15,99824386	7,670914717	3,001872105	0,323204353	5,8465756										
10	100	5	2	-27	10	-28	-26,9992416	5,572825422	-27,99647014	0,33696646	5,8516801										
10	100	5	2	-27	10	-28	-26,99421952	7,894159786	-27,98630085	0,337350686	5,8012315										
10	100	5	2	-27	10	-28	-26,99761108	1,848963724	-28,02818748	0,336908096	6,4453031										
10	100	5	2	-27	10	-28	-26,99747331	3,123886905	-27,96473392	0,337224232	5,9271034										
10	100	5	2	-27	10	-28	-27,0031355	1,840054851	-28,00208256	0,336893505	6,2907802										
10	100	5	2	-27	10	-28	-26,9972302	1,825512254	-27,98182276	0,336733006	6,3680947										
10	100	5	2	-13	-3	-9	-12,99765988	-3,246004001	-8,977236516	0,303354248	6,1853584										
10	100	5	2	-13	-3	-9	-12,99735653	-3,12604482	-9,012239723	0,302766803	6,6114606										
10	100	5	2	-13	-3	-9	-12,99599045	-3,497982112	-8,995521375	0,304561416	6,5038441										
10	100	5	2	-13	-3	-9	-12,9940231	-3,14227324	-9,021490256	0,302766803	6,4612225										
10	100	5	2	-13	-3	-9	-12,99339333	-3,134543112	-9,010082609	0,302766803	6,4275747										
10	100	5	2	-13	-3	-9	-12,99785316	-3,132914203	-9,010272839	0,302766803	6,1334854										
10	100	5	2	10	25	15	10,00654529	24,86093835	15,0082706	0,314160962	6,3453727										
10	100	5	2	10	25	15	10,00404643	5,99710445	15,06399453	0,326634887	5,9977712										
10	100	5	2	10	25	15	10,00869616	2,352892928	15,05032345	0,328449699	6,168953										
10	100	5	2	10	25	15	10,01234977	5,680683831	15,02327079	0,326891921	6,0042024										
10	100	5	2	10	25	15	10,00028772	5,950935562	15,00041677	0,326089665	6,3073714										
10	100	5	2	10	25	15	10,00357216	24,71688744	15,06297245	0,314640862	5,9154705										
